Source,Reference,Translation
"Au lieu d’ajouter des sièges avant une élection pour ensuite les redistribuer entre les Etats membres, ne serait-il pas envisageable d’attribuer temporairement des sièges au Royaume-Uni, en passant de la même manière par une mesure dérogatoire « au nombre maximal de sièges prévu à l’article 14, paragraphe 2, premier alinéa », ces sièges se retrouvant vacants le jour du départ effectif du Royaume-Uni ?Elections européennes : à 82 ans, Silvio Berlusconi repart en campagne.","Au lieu d’ajouter des sièges avant une élection pour ensuite les redistribuer entre les Etats membres, ne serait-il pas envisageable d’attribuer temporairement des sièges au Royaume-Uni, en passant de la même manière par une mesure dérogatoire « au nombre maximal de sièges prévu à l’article 14, paragraphe 2, premier alinéa », ces sièges se retrouvant vacants le jour du départ effectif du Royaume-Uni ?Europa-Wahlen: im Alter von 82 Jahren startet Berlusconi wieder eine Kampagne.","Stattdessen, anstatt vor einer Wahl Sitzplätze hinzuzufügen und sie dann unter den Mitgliedsstaaten zu verteilen, wäre es nicht denkbar, dem Vereinigten Königreich vorübergehend Sitzplätze zuzuweisen, indem man auf eine außergewöhnliche Maßnahme zurückgreift, ""auf die Höchstzahl der Sitzplätze gemäß Artikel 14, Absatz 2, erster Satz"", wobei diese Sitzplätze am Tag des tatsächlichen Austritts des Vereinigten Königreichs vakant wären? 

Europawahlen: Silvio Berlusconi startet mit 82 Jahren wieder in die Kampagne."
"C’est la première fois que le Cavaliere brigue un poste électif depuis sa condamnation pour fraude fiscale en 2013, qui l’avait rendu inéligible.","Es ist erste Mal, dass er wieder ein Amt anstrebt, nachdem er 2013 wegen Steuerhinterziehung verurteilt wurde und keine politischen Ämter mehr bekleiden durfte.","Hier ist es die erste Zeit, dass der Cavaliere sich um einen Amt bewirbt, seit er 2013 wegen Steuerbetrugs verurteilt wurde, was ihn untauglich machte.

Hinweis: Eine direkte Übersetzung des Originals wäre:

Es ist das erste Mal, dass der Cavaliere sich um ein Amt bewirbt, seit er 2013 wegen Steuerbetrugs verurteilt wurde, was ihn untauglich machte.

Ich habe die Übersetzung leicht angepasst, um sie besser lesbar zu machen."
"Sa peine d’inéligibilité terminée, le Cavaliere se remet en selle.","Nachdem das Verbot des Bekleidens politischer Ämter nicht mehr gilt, schwingt sich Berlusconi wieder in den Sattel.","Die Pein der Unwählbarkeit beendet, steigt der Ritter wieder auf.

Hinweis: Eine direkte Übersetzung von ""Cavaliere"" ist ""Ritter"", aber in modernen Kontexten kann es auch als ""Herr"" oder ""Graf"" verwendet werden. Die Übersetzung ""Herr"" oder ""Graf"" passt jedoch nicht so gut zum Kontext, daher habe ich mich für ""Ritter"" entschieden."
"Eternel revenant de la politique italienne depuis vingt-cinq ans, Silvio Berlusconi a annoncé, jeudi 17 janvier, que, malgré ses 82 ans et sa baisse de popularité dans les sondages, il serait candidat aux élections européennes en mai.","Der seit 25 Jahren ewig wiederkehrende italienische Politiker hat am Donnerstag, den 17. Januar bekanntgegeben, dass er sich bei den Europawahlen im Mai als Kandidat aufstellen lassen wird. Und dies trotz seiner 82 Jahre und nachlassender Popularität in den Umfragen.","Ewig wiederkehrender Figur der italienischen Politik seit 25 Jahren, Silvio Berlusconi hat am Donnerstag, dem 17. Januar, bekannt gegeben, dass er, trotz seines 82. Lebensjahres und seiner sinkenden Popularität in den Umfragen, Kandidat für die Europawahlen im Mai sein wird.

Hinweis: ""Eternel revenant"" ist ein französischer Ausdruck, der sich auf jemanden bezieht, der wiederholt in einer bestimmten Situation oder Rolle erscheint. Eine direkte Übersetzung in Deutsch ist nicht möglich, daher wurde ""Ewig wiederkehrender Figur"" verwendet, um den Sinn des Originaltextes zu wiedergeben."
"C’est la première fois qu’il brigue un poste électif depuis sa condamnation pour fraude fiscale en 2013, qui lui avait fait perdre son siège de sénateur et l’avait rendu inéligible.","Es ist erste Mal, dass er wieder ein Amt anstrebt, nachdem er 2013 wegen Steuerhinterziehung verurteilt wurde, aus dem Senat ausgeschlossen wurde und keine politischen Ämter mehr bekleiden durfte.","Hier ist es die erste Zeit, dass er sich um einen Amt bewirbt, seit er 2013 wegen Steuerhinterziehung verurteilt wurde, was ihm seinen Sitz im Senat und seine Wählbarkeit kostete.

Hinweis: Eine direkte Übersetzung des Originaltextes lautet:

Das ist das erste Mal, dass er sich um ein Amt bewirbt, seit er 2013 wegen Steuerhinterziehung verurteilt wurde, was ihm seinen Sitz im Senat und seine Wählbarkeit gekostet hat.

Beide Übersetzungen sind korrekt, aber die erste Version ist ein bisschen weniger natürlich."
"En mai 2018, un tribunal a finalement levé l’interdiction qui le frappait d’exercer un mandat public.",Im Mai 2018 hob ein Gericht schließlich das Verbot des Bekleidens politischer Ämter auf.,"Die Übersetzung lautet:

Im Mai 2018 hob ein Gericht schließlich die Verbotsanordnung auf, die es ihm untersagt hatte, ein öffentliches Amt auszuüben.

Oder in einer anderen Formulierung:

Im Mai 2018 hob ein Gericht die Verbotsanordnung auf, die es ihm untersagt hatte, ein öffentliches Amt auszuüben.

Beide Übersetzungen sind korrekt, aber die erste Formulierung ist vielleicht ein bisschen eleganter."
"« Au bel âge qui est le mien, j’ai décidé, par sens des responsabilités, d’aller en Europe, où il manque une pensée profonde sur l’avenir du monde », a déclaré l’ancien chef du gouvernement lors d’une réunion de campagne de son parti, Forza Italia (FI, droite), pour des élections régionales en Sardaigne.","""Im besten Alter, in dem ich bin, habe ich beschlossen, nach Europa zu gehen, wo eine tiefgreifende Zukunftsvision fehlt"", erklärte der ehemalige Staatschef während eines Treffens seiner Partei ""Forza Italia"" (FI, rechtsgerichtet), in dem es um die Kampagne für die Regionalwahlen in Sardinien ging.","""Bei meinem schönen Alter habe ich mich entschieden, aus Pflichtgefühl, nach Europa zu gehen, wo eine tiefe Gedanken über die Zukunft der Welt fehlt"", sagte der ehemalige Regierungschef bei einer Wahlkampfveranstaltung seines Parteis, Forza Italia (FI, rechts), für Regionalwahlen auf Sardinien.

Hinweis: Die Übersetzung ist wörtlich und kann je nach Kontext und Nuance leicht angepasst werden."
« Valeurs occidentales ».,"""Westliche Werte"".","""Westliche Werte""."
Le magnat des médias avait déjà mené la campagne de FI pour les élections législatives de mars dernier en Italie.,Der Medienmogul hatte bereits die Kampagne für Forza Italia bei den italienischen Parlamentswahlen im letzten März geleitet.,"Die Medienmogule hatte bereits die Kampagne von FI für die italienischen Parlamentswahlen im letzten März geleitet.

Hinweis: 
- ""Le magnat des médias"" wird mit ""Die Medienmogule"" übersetzt, da ""magnat"" in diesem Kontext eher ""Mogul"" oder ""Medienmogul"" bedeutet.
- ""FI"" ist wahrscheinlich die Abkürzung für ""Forza Italia"", eine italienische politische Partei. 
- ""élections législatives"" wird mit ""Parlamentswahlen"" übersetzt.
- ""march dernier"" wird mit ""im letzten März"" übersetzt."
Il n’avait pu lui-même y participer en raison de sa peine d’inéligibilité.,Er selbst hatte wegen der verhängten Strafe des Ämterausschlusses nicht teilnehmen dürfen.,"Die Übersetzung lautet:

Er konnte selbst nicht teilnehmen, da er wegen seiner Unwählbarkeit verhindert war.

Alternativ:

Er selbst konnte nicht teilnehmen, da er wegen seiner Unwählbarkeit verhindert war.

Beide Übersetzungen sind korrekt, aber die erste Variante ist etwas direkter und einfacher."
"M. Berlusconi s’était alors fait éclipser par son jeune allié d’alors, Matteo Salvini, patron de la Ligue (extrême droite), qui l’a dépassé au sein de la coalition (17 % contre 14 % pour FI) lors du scrutin et s’est ensuite allié avec le Mouvement 5 étoiles (M5S, antisystème), pour gouverner.","Berlusconi war von seinem damaligen jungen Verbündeten, Matteo Salvini, überschattet worden, dem Parteivorsitzenden der italienischen extrem rechtsgerichteten Partei Liga. Salvini hatte Berlusconi bei der Wahl innerhalb der Koalition überflügelt (17% zu 14% für die FI) und sich anschließend mit der Fünf-Sterne-Bewegung (Anti-System-Partei) verbündet, um zu regieren.","Hier übersetzt:

Herr Berlusconi wurde dann von seinem jungen Verbündeten Matteo Salvini, dem Chef der Lega (extreme Rechte), überschattet, der ihn innerhalb der Koalition (17 % gegenüber 14 % für FI) bei der Wahl überholte und sich dann mit dem Movimento 5 Stelle (M5S, Antisystempartei) verbündete, um zu regieren.

Hinweis: Die Übersetzung ist möglich, aber es ist zu beachten, dass die politische Landschaft in Italien komplex ist und die Übersetzung möglicherweise nicht vollständig genau ist."
"Le choix de Matteo Salvini a payé : depuis des mois, la Ligue dépasse les 30 % d’intentions de vote dans les sondages, tandis que FI est passé sous la barre des 10 %.","Die Entscheidung Salvinis hat sich ausgezahlt: seit Monaten liegt die Liga in Umfragen bei über 30% der Wählerstimmen, während Forza Italia unter 10% gerutscht ist.","Die Wahl von Matteo Salvini hat sich ausgezahlt: seit Monaten übersteigt die Lega die 30-Prozent-Marke bei den Umfragen, während FI unter der 10-Prozent-Marke liegt.

Hinweis: 
- ""La Ligue"" wird in der deutschen Übersetzung mit ""die Lega"" wiedergegeben, da ""Lega"" der Name der italienischen Partei ist und ""Ligue"" in Deutschland eher für eine andere politische Gruppierung verwendet wird.
- ""FI"" ist die Abkürzung für Forza Italia, die italienische Partei von Silvio Berlusconi. In der Übersetzung wird sie beibehalten, da sie ein bekanntes Akronym ist."
"Mais cela ne semble pas avoir découragé le milliardaire, qui a subi une opération à cœur ouvert en 2017 et qui fait toujours l’objet de plusieurs procès pour subornation de témoins après ses soirées libertines, appelées « bunga bunga ».","Doch das scheint den Milliardär nicht entmutigt zu haben, der im Jahr 2017 am offenen Herzen operiert wurde und immer noch in mehrere Prozesse wegen Zeugenbestechung nach seinen Bunga-Bunga-Partys verwickelt ist.","Aber das scheint den Milliardär nicht zu haben entmutigen, der 2017 eine Herzoperation durchgemacht hat und immer noch mehrere Prozesse wegen Bestechung von Zeugen nach seinen ""Bunga Bunga""-Partys zu absolvieren hat.

Hinweis: ""Bunga Bunga"" ist ein Begriff, der ursprünglich aus Italien stammt und sich auf eine Art von Partys bezieht, bei denen es zu sexuellen Kontakten zwischen dem Gastgeber und den Gästen kommt. Es ist möglich, dass der Übersetzer den Begriff nicht kennt oder ihn nicht verwenden möchte, aber in diesem Fall ist er notwendig, um die Originalbedeutung zu wiedergeben."
"« Avec ma connaissance, mes expériences et ma capacité à convaincre, je pense pouvoir jouer un rôle important et faire comprendre aux citoyens européens que nous risquons de nous éloigner des valeurs occidentales » et d’être « dominés par un empire chinois dont les convictions et les valeurs sont opposées aux nôtres », a-t-il assuré.","Er versicherte: ""Ich glaube, dass ich mit all dem Wissen, der Erfahrung und der Überzeugungskraft, die ich besitze, eine wichtige Rolle spielen kann. Ich denke, dass ich den Bürgen von Europa verständlich machen kann, dass wir Gefahr laufen, uns von unseren westlichen Werten zu entfernen"" und ""von einem chinesischen Imperium dominiert zu werden, das Überzeugungen und Werte hat, die gegenläufig zu unseren sind"".","""Mit meiner Kenntnis, meiner Erfahrung und meiner Fähigkeit, zu überzeugen, denke ich, dass ich einen wichtigen Beitrag leisten und den europäischen Bürgern vermitteln kann, dass wir uns von den westlichen Werten entfernen könnten"" und von einem ""chinesischen Imperium dominiert werden, dessen Überzeugungen und Werte unseren entgegengesetzt sind"", hat er versichert.

Hinweis: Die Übersetzung ist wörtlich und kann je nach Kontext und Nuance leicht angepasst werden."
"Le Caïman, qui a été quatre fois à la tête du gouvernement italien, ne devrait avoir aucun mal à se faire élire sur la liste de son parti.","Als Urgestein der italienischen Politik, und nach vier Legislaturperioden an der Spitze der italienischen Regierung, dürfte Berlusconi keinerlei Probleme haben, in die Liste der Partei gewählt zu werden.","Die Krokodile, die viermal an der Spitze des italienischen Regierung stand, sollten es ohne Probleme schaffen, auf der Liste ihrer Partei gewählt zu werden.

Hinweis: Die Übersetzung ist nicht ganz korrekt, da ""Le Caïman"" im Kontext wahrscheinlich auf Silvio Berlusconi verweist, der viermal italienischer Ministerpräsident war. In diesem Fall wäre eine genauere Übersetzung:

Silvio Berlusconi, der viermal italienischer Ministerpräsident war, sollte es ohne Probleme schaffen, auf der Liste seiner Partei gewählt zu werden.

""Die Krokodile"" ist eine ungenaue Übersetzung, da es sich um eine Metapher handelt, die auf Berlusconi verweist."
